POOL_ID	POOL_SIZE	FREE_BUFFERS	DATABASE_PAGES	OLD_DATABASE_PAGES	MODIFIED_DATABASE_PAGES	PENDING_DECOMPRESS	PENDING_READS	PENDING_FLUSH_LRU	PENDING_FLUSH_LIST	PAGES_MADE_YOUNG	PAGES_NOT_MADE_YOUNG	PAGES_MADE_YOUNG_RATE	PAGES_MADE_NOT_YOUNG_RATE	NUMBER_PAGES_READ	NUMBER_PAGES_CREATED	NUMBER_PAGES_WRITTEN	PAGES_READ_RATE	PAGES_CREATE_RATE	PAGES_WRITTEN_RATE	NUMBER_PAGES_GET	HIT_RATE	YOUNG_MAKE_PER_THOUSAND_GETS	NOT_YOUNG_MAKE_PER_THOUSAND_GETS	NUMBER_PAGES_READ_AHEAD	NUMBER_READ_AHEAD_EVICTED	READ_AHEAD_RATE	READ_AHEAD_EVICTED_RATE	LRU_IO_TOTAL	LRU_IO_CURRENT	UNCOMPRESS_TOTAL	UNCOMPRESS_CURRENT
0	1024	58	964	375	550	0	16	5	0	67009	34846052	12.635214980456324	3875.37496591219	19064361	21988	3875738	2337.9692755204073	2.7270248159258252	493.5914916825743	65944168	714	1	475	0	3768	0	0.8181074447777476	156107	1022	0	0
0	1024	57	965	375	506	0	11	2	0	67105	34893744	9.599040095990402	4768.723127687232	19089455	22018	3880823	2509.149085091491	2.9997000299970003	508.44915508449157	66031939	715	1	543	0	3772	0	0.3999600039996001	152324	239	0	0
0	1024	0	1020	393	859	0	72	0	2	67263	34941764	15.798420157984202	4801.619838016199	19117686	22044	3885920	2822.8177182281775	2.5997400259974004	509.64903509649037	66127430	705	1	502	0	3780	0	0.7999200079992002	153069	1422	0	0
0	1024	0	1021	396	866	0	45	3	0	67370	34990005	13.140979860019996	4534.923582345379	19144104	22072	3891179	2635.480645622054	2.999571489787173	484.2165404942151	66218725	712	1	496	0	3783	0	0.428510212826739	155176	2319	0	0
0	1024	30	991	366	726	0	18	78	0	67472	35038376	10.198980101989802	4836.616338366163	19170108	22104	3896130	2600.1399860014	3.1996800319968006	495.05049495050497	66309804	715	1	531	0	3788	0	0.4999500049995001	152080	2740	0	0
0	1024	0	1021	396	685	0	43	6	0	67562	35085093	8.999100089991002	4671.232876712329	19195800	22122	3901221	2568.9431056894314	1.7998200179982002	509.049095090491	66400046	716	0	517	0	3794	0	0.5999400059994001	152078	469	0	0
0	1024	0	1022	396	766	0	44	100	0	67730	35126261	16.798320167983203	4116.388361163884	19219778	22147	3906345	2397.5602439756026	2.4997500249975	512.3487651234876	66487801	727	1	469	0	3805	0	1.0998900109989003	148776	2384	0	0
0	1024	0	1021	395	593	0	53	9	0	67785	35174797	4.999545495864012	4411.962548859195	19246063	22173	3911668	2389.32824288701	2.363421507135715	483.8651031724389	66576068	703	0	549	0	3813	0	0.72720661758022	150930	1315	0	0
0	1024	0	1020	388	674	0	91	0	0	67948	35224486	16.2983701629837	4968.403159684032	19273229	22201	3917073	2716.328367163284	2.7997200279972003	540.4459554044596	66672599	719	1	514	0	3820	0	0.6999300069993001	150098	329	0	0
0	1024	70	951	337	716	0	24	1	0	68169	35267604	27.56749035852021	4289.958577346093	19298071	22233	3922171	2460.5056420511355	2.713898014569347	527.6389087273246	66757325	712	3	503	0	3834	0	1.285530638480217	149249	1179	0	0
0	1024	0	1022	396	829	0	19	41	0	68279	35314529	9.999090991728025	4265.521316243978	19324328	22265	3927051	2386.78301972548	2.90882647032088	443.5960367239342	66846155	705	1	528	0	3842	0	0.72720661758022	149646	1959	0	0
0	1024	0	1018	393	803	0	26	0	0	68412	35361369	13.298670132986702	4683.531646835317	19350173	22294	3932133	2584.241575842416	2.8997100289971005	508.14918508149185	66935519	711	1	524	0	3847	0	0.4999500049995001	151395	3153	0	0
0	1024	243	779	278	491	0	12	68	0	68564	35402555	15.198480151984802	4118.188181181882	19373711	22315	3937040	2353.5646435356466	2.0997900209979004	490.65093490650935	67018170	716	1	498	0	3856	0	0.8999100089991001	148507	306	0	0
0	1024	0	1021	394	749	0	59	21	0	68804	35448919	21.816198527406602	4214.525952186165	19400603	22352	3942124	2444.5050449959094	3.3633306063085175	462.1398054722298	67111688	713	2	495	0	3861	0	0.4545041359876375	148114	922	0	0
0	1024	0	1021	396	701	0	112	0	2	68904	35490334	9.99900009999	4141.085891410859	19423503	22375	3947020	2289.7710228977103	2.2997700229977003	489.5510448955105	67191898	715	1	516	0	3864	0	0.29997000299970006	147040	305	0	0
0	1024	193	827	290	564	0	17	2	0	69055	35530950	15.248093988251469	3922.509686289214	19447202	22407	3951778	2329.2088488938884	2.7496562929633797	474.44069491313587	67273916	710	1	489	0	3869	0	0.2499687539057618	143749	25	0	0
0	1024	1	1011	393	873	0	77	0	0	69269	35578115	21.397860213978603	4716.028397160284	19473023	22435	3956869	2581.841815818418	2.7997200279972003	509.049095090491	67366743	722	2	508	0	3876	0	0.6999300069993001	141778	1615	0	0
0	1024	0	1022	396	919	0	22	5	0	69407	35622997	12.544314153258796	4079.810926279429	19498815	22468	3961805	2344.5141350786294	2.9997272975184077	448.68648304699576	67455648	710	1	504	0	3883	0	0.6363057903826925	142904	2468	0	0
0	1024	0	1019	396	882	0	70	0	0	69578	35668299	17.098290170982903	4529.747025297471	19524265	22495	3966907	2544.7455254474553	2.6997300269973006	510.14898510148987	67541390	704	1	528	0	3892	0	0.8999100089991001	142907	3344	0	0
0	1024	58	964	338	823	0	15	100	0	69774	35706975	19.598040195980403	3867.213278672133	19548436	22514	3972041	2416.858314168583	1.8998100189981002	513.3486651334866	67627109	719	2	451	0	3900	0	0.7999200079992002	145864	164	0	0
0	1024	0	1021	395	718	0	39	2	0	69933	35754176	14.453231524406872	4290.609944550496	19574527	22543	3977304	2371.69348241069	2.6361239887282975	478.41105354058726	67717065	710	1	524	0	3904	0	0.36360330879011	147304	1519	0	0
0	1024	146	875	333	724	0	20	100	0	70057	35801069	7.999111209865571	4689.478946783691	19599992	22577	3982393	2518.4979446728144	3.444061770914343	485.83490723252976	67805303	712	0	536	0	3908	0	0.44439506721475397	146789	3181	0	0
0	1024	0	1020	390	698	0	90	0	0	70167	35848553	10.998900109989002	4747.925207479252	19624795	22597	3987604	2480.05199480052	1.9998000199980004	521.0478952104789	67893723	720	1	537	0	3912	0	0.3999600039996001	146630	691	0	0
0	1024	101	921	359	526	0	75	10	0	70331	35890067	14.90773566039451	3773.6569402781565	19649730	22629	3992799	2266.6121261703483	2.90882647032088	472.22979729115536	67980946	715	1	475	0	3920	0	0.72720661758022	147043	785	0	0
0	1024	0	1018	391	589	0	18	0	0	70520	35930066	18.898110188981104	3999.5000499950006	19673940	22658	3997779	2420.7579242075794	2.8997100289971005	497.9502049795021	68064816	712	2	476	0	3926	0	0.5999400059994001	146933	1603	0	0
0	1024	0	1022	395	798	0	16	2	0	70683	35977302	16.2983701629837	4723.127687231277	19701468	22682	4002679	2752.5247475252477	2.3997600239976005	489.95100489951005	68157757	704	1	508	0	3932	0	0.5999400059994001	146937	3967	0	0
0	1024	0	1022	394	791	0	25	100	0	70782	36026721	9.899010098990102	4941.405859414059	19727444	22704	4008059	2597.340265973403	2.1997800219978005	537.9462053794621	68246795	709	1	555	0	3933	0	0.09999000099990002	148810	532	0	0
0	1024	0	1020	394	738	0	30	0	0	70974	36071056	19.198080191980804	4109.989001099891	19753066	22725	4013099	2381.8618138186184	1.9998000199980004	459.6540345965404	68335219	712	2	497	0	3944	0	1.0998900109989003	149879	1411	0	0
0	1024	0	1021	393	714	0	120	0	0	71140	36111812	16.5983401659834	4075.192480751925	19777583	22752	4018299	2451.4548545145485	2.6997300269973006	519.9480051994801	68419001	708	1	486	0	3947	0	0.29997000299970006	148591	2409	0	0
0	1024	0	1021	394	665	0	65	0	0	71189	36161777	4.899510048995101	4996.000399960004	19803599	22776	4023796	2601.339866013399	2.3997600239976005	549.6450354964504	68507460	706	0	564	0	3951	0	0.3999600039996001	149849	711	0	0
