name	subsystem	count	max_count	min_count	avg_count
ibuf_merges_discard_insert	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete	change_buffer	0	0	NULL	0
ibuf_merges	change_buffer	524568	524568	NULL	10.616421444617595
ibuf_size	change_buffer	26	269	NULL	0.0005261986197405436
innodb_activity_count	server	6138593	6138593	NULL	124.23535245188319
innodb_dblwr_writes	server	523556	523556	NULL	10.595940175264618
innodb_dblwr_pages_written	server	3729926	3729926	NULL	75.48776588209103
innodb_rwlock_s_spin_waits	server	1808696	1808696	NULL	36.605128412701625
innodb_rwlock_x_spin_waits	server	65520	65520	NULL	1.3260205217461698
innodb_rwlock_s_spin_rounds	server	75192794	75192794	NULL	1521.7824775859626
innodb_rwlock_x_spin_rounds	server	7542046	7542046	NULL	152.63900750844954
innodb_rwlock_s_os_waits	server	2317971	2317971	NULL	46.912043876869525
innodb_rwlock_x_os_waits	server	235621	235621	NULL	4.768594037764871
dml_reads	dml	5688561	5688561	NULL	115.12742101961102
dml_inserts	dml	666058	666058	NULL	13.47995385642873
dml_deletes	dml	51168	51168	NULL	1.0355588836493899
dml_updates	dml	1331443	1331443	NULL	26.946287263969563
lock_row_lock_current_waits	lock	0	5	NULL	0
lock_row_lock_time	lock	3675915	3675915	NULL	74.37961595273265
lock_row_lock_waits	lock	1112	1112	NULL	0.022500556443617085
buffer_pool_reads	buffer	17750378	17750378	NULL	359.16671050767894
buffer_pool_read_requests	buffer	63174733	63174733	NULL	1278.2973432346573
buffer_pool_write_requests	buffer	10428071	10428071	NULL	211.00485623520365
buffer_pool_wait_free	buffer	487973	487973	NULL	9.873798587644929
buffer_pool_read_ahead	buffer	0	0	NULL	0
buffer_pool_read_ahead_evicted	buffer	3573	3573	NULL	0.07229720159446389
buffer_pages_created	buffer	21062	21062	NULL	0.4261751077477186
buffer_pages_written	buffer	3734948	3734948	NULL	75.57410817263916
buffer_pages_read	buffer	18250614	18250614	NULL	369.2886424799174
buffer_data_reads	buffer	299020292096	299020292096	NULL	6050470.287853342
buffer_data_written	buffer	123154525696	123154525696	NULL	2491947.263228182
os_data_reads	os	18215559	18215559	NULL	368.5793286254831
os_data_writes	os	4221096	4221096	NULL	85.41097913842293
os_data_fsyncs	os	952861	952861	NULL	19.280488051637967
os_log_bytes_written	os	767187968	767187968	NULL	15523.521741769693
os_log_fsyncs	os	139789	139789	NULL	2.8285344286841627
os_log_pending_fsyncs	os	1	1	0	0.000020234313348576517
os_log_pending_writes	os	0	1	0	0
log_waits	recovery	0	0	NULL	0
log_write_requests	recovery	1905133	1905133	NULL	38.54905809271362
log_writes	recovery	138796	138796	NULL	2.808441755529026
adaptive_hash_searches	adaptive_hash_index	69896	69896	NULL	1.4142975658121042
ibuf_merges_insert	change_buffer	603651	603651	NULL	12.214463487181563
ibuf_merges_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_delete	change_buffer	0	0	NULL	0
ibuf_merges_discard_insert	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete	change_buffer	0	0	NULL	0
ibuf_merges	change_buffer	524694	524694	NULL	10.616822808118007
ibuf_size	change_buffer	32	269	NULL	0.0006474980271544485
innodb_activity_count	server	6149669	6149669	NULL	124.43432953602719
innodb_dblwr_writes	server	524062	524062	NULL	10.604034722081707
innodb_dblwr_pages_written	server	3734988	3734988	NULL	75.57491754517311
innodb_rwlock_s_spin_waits	server	1811389	1811389	NULL	36.65221262216467
innodb_rwlock_x_spin_waits	server	65763	65763	NULL	1.3306691487424374
innodb_rwlock_s_spin_rounds	server	75375878	75375878	NULL	1525.179134376075
innodb_rwlock_x_spin_rounds	server	7557349	7557349	NULL	152.91776775055138
innodb_rwlock_s_os_waits	server	2323801	2323801	NULL	47.020517593735455
innodb_rwlock_x_os_waits	server	236092	236092	NULL	4.777159507092127
dml_reads	dml	5698869	5698869	NULL	115.3127010784889
dml_inserts	dml	667256	667256	NULL	13.501466987717771
dml_deletes	dml	51261	51261	NULL	1.0372311365613809
dml_updates	dml	1333940	1333940	NULL	26.99135994820016
lock_row_lock_current_waits	lock	1	5	NULL	0.000020229810648972326
lock_row_lock_time	lock	3685403	3685403	NULL	74.55500485515455
lock_row_lock_waits	lock	1116	1116	NULL	0.022576468684253115
buffer_pool_reads	buffer	17779354	17779354	NULL	359.6729648810487
buffer_pool_read_requests	buffer	63276336	63276336	NULL	1280.068295840751
buffer_pool_write_requests	buffer	10443327	10443327	NULL	211.26652775530022
buffer_pool_wait_free	buffer	488488	488488	NULL	9.882019744295194
buffer_pool_read_ahead	buffer	0	0	NULL	0
buffer_pool_read_ahead_evicted	buffer	3582	3582	NULL	0.07246318174461887
buffer_pages_created	buffer	21097	21097	NULL	0.4267883152613692
buffer_pages_written	buffer	3740029	3740029	NULL	75.66007849166532
buffer_pages_read	buffer	18279698	18279698	NULL	369.7948292603981
buffer_data_reads	buffer	299496361984	299496361984	NULL	6058754.692992394
buffer_data_written	buffer	123322501120	123322501120	NULL	2494790.8464152776
os_data_reads	os	18244615	18244615	NULL	369.0851068134002
os_data_writes	os	4226727	4226727	NULL	85.50588687489885
os_data_fsyncs	os	954030	954030	NULL	19.299846253439068
os_log_bytes_written	os	768258560	768258560	NULL	15541.725198252145
os_log_fsyncs	os	139989	139989	NULL	2.8319509629389867
os_log_pending_fsyncs	os	0	1	0	0
os_log_pending_writes	os	0	1	0	0
log_waits	recovery	0	0	NULL	0
log_write_requests	recovery	1907565	1907565	NULL	38.58967875060689
log_writes	recovery	138994	138994	NULL	2.8118223013432595
adaptive_hash_searches	adaptive_hash_index	70043	70043	NULL	1.4169566272859686
ibuf_merges_insert	change_buffer	603772	603772	NULL	12.214193235151319
ibuf_merges_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_delete	change_buffer	0	0	NULL	0
ibuf_merges_discard_insert	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete	change_buffer	0	0	NULL	0
ibuf_merges	change_buffer	524812	524812	NULL	10.616847386308464
ibuf_size	change_buffer	40	269	NULL	0.0008091924259588931
innodb_activity_count	server	6160782	6160782	NULL	124.63145330959702
